"Word","Changed","score_test"
"abracadabra","aaaaabbcdrr",169
"Mahabharata","aaaaabhhmrt",225
"Guadalajara","aaaaadgjlru",225
"baccalaureates","aaaabcceelrstu",324
"baccalaureate","aaaabcceelrtu",289
"Bacchanalia","aaaabcchiln",256
"bacchanalian","aaaabcchilnn",289
"bacchanalians","aaaabcchilnns",324
"Capablanca","aaaabcclnp",225
"Casablanca","aaaabcclns",196
"Copacabana","aaaabccnop",196
"Athabascan","aaaabchnst",169
"Athabasca","aaaabchst",144
"Ahmadabad","aaaabddhm",144
"Faisalabad","aaaabdfils",169
"Allahabad","aaaabdhll",169
"ambassadorial","aaaabdilmorss",256
"balalaika","aaaabikll",196
"balalaikas","aaaabiklls",225
"Alabamian","aaaabilmn",144
"Alabamians","aaaabilmns",169
"Kawabata","aaaabktw",144
"Alabama","aaaablm",100
"Alabaman","aaaablmn",121
"Alabamans","aaaablmns",144
"lackadaisically","aaaaccdiiklllsy",576
"lackadaisical","aaaaccdiiklls",400
"whatchamacallits","aaaacchhillmsttw",625
"whatchamacallit","aaaacchhillmttw",576
"Apalachicola","aaaacchillop",361
"Transcaucasia","aaaaccinrsstu",256
"Caracalla","aaaaccllr",196
"Guadalcanal","aaaacdgllnu",225
"Madagascan","aaaacdgmns",169
"Madagascans","aaaacdgmnss",196
"Madagascar","aaaacdgmrs",169
"Sacajawea","aaaacejsw",196
"Appalachian","aaaachilnpp",289
"Appalachians","aaaachilnpps",324
"Appalachia","aaaachilpp",256
"analyticalally","aaaacillllntyy",484
"Araucanian","aaaacinnru",144
"catamarans","aaaacmnrst",169
"catamaran","aaaacmnrt",144
"Atacama","aaaacmt",100
"amalgamated","aaaadeglmmt",225
"Karaganda","aaaadgknr",144
"Vijayawada","aaaadijvwy",256
"amalgamates","aaaaeglmmst",225
"amalgamate","aaaaeglmmt",196
"extravaganzas","aaaaegnrstvxz",361
"extravaganza","aaaaegnrtvxz",324
"paraphernalia","aaaaehilnpprr",324
"Haleakala","aaaaehkll",225
"parliamentarians","aaaaeiilmnnprrst",400
"parliamentarian","aaaaeiilmnnprrt",361
"Antofagasta","aaaafgnostt",169
"Rastafarian","aaaafinrrst",169
"amalgamating","aaaaggilmmnt",256
"phantasmagorias","aaaaghimnoprsst",361
"phantasmagoria","aaaaghimnoprst",324
"Vijayanagar","aaaagijnrvy",256
"amalgamations","aaaagilmmnost",289
"amalgamation","aaaagilmmnot",256
"Yamagata","aaaagmty",121
"Anaxagoras","aaaagnorsx",169
"Paraguayans","aaaagnprsuy",196
"Paraguayan","aaaagnpruy",169
"Araguaya","aaaagruy",100
"maharajah","aaaahhjmr",225
"maharajahs","aaaahhjmrs",256
"Maharashtra","aaaahhmrrst",225
"Visakhapatnam","aaaahikmnpstv",400
"maharaja","aaaahjmr",169
"maharajas","aaaahjmrs",196
"Yoknapatawpha","aaaahknopptwy",441
"Atahualpa","aaaahlptu",169
"Mahayana","aaaahmny",144
"sarsaparilla","aaaaillprrss",256
"sarsaparillas","aaaaillprrsss",289
"Australasia","aaaailrsstu",169
"Panamanian","aaaaimnnnp",169
"Panamanians","aaaaimnnnps",196
"Antananarivo","aaaainnnortv",196
"Anastasia","aaaainsst",100
"Taklamakan","aaaakklmnt",289
"Arawakan","aaaaknrw",144
"Malayalam","aaaallmmy",225
"Atalanta","aaaalntt",100
