"Word","Changed","score_test"
"Czechoslovakians","aaccehiklnoossvz",676
"whatchamacallits","aaaacchhillmsttw",625
"Czechoslovakian","aaccehiklnoosvz",625
"photographically","aacghhilloopprty",625
"Chancellorsville","acceehillllnorsv",625
"psychologically","accghillloopsyy",625
"philosophically","achhiilllooppsy",625
"lackadaisically","aaaaccdiiklllsy",576
"whatchamacallit","aaaacchhillmttw",576
"catastrophically","aaacchilloprstty",576
"melodramatically","aaacdeilllmmorty",576
"Czechoslovakia","aaccehikloosvz",576
"crystallographic","aaccghilloprrsty",576
"compartmentalize","aaceeilmmnoprttz",576
"sympathetically","aacehillmpsttyy",576
"typographically","aacghillopprtyy",576
"psychoanalyzing","aacghilnnopsyyz",576
"microscopically","accciillmooprsy",576
"hypercritically","accehiillprrtyy",576
"exemplifications","aceefiiilmnopstx",576
"counterclockwise","ccceeiklnoorstuw",576
"Huitzilopotchli","chhiiilloopttuz",576
"problematically","aabceilllmoprty",529
"Chappaquiddick","aaccddhiikppq",529
"circumstantially","aacciillmnrsttuy",529
"straightjacketed","aacdeeghijkrsttt",529
"demographically","aacdeghillmopry",529
"psychoanalyzed","aacdehlnopsyyz",529
"phlegmatically","aaceghilllmpty",529
"atmospherically","aacehillmoprsty",529
"Netzahualcoyotl","aacehllnoottuyz",529
"psychoanalyzes","aacehlnopssyyz",529
"crystallography","aacghlloprrstyy",529
"technologically","acceghilllnooty",529
"commercializing","accegiiilmmnorz",529
"accomplishments","accehilmmnopsst",529
"excommunications","acceiimmnnoostux",529
"chronologically","accghilllnooory",529
"hypocritically","acchiilloprtyy",529
"acknowledgements","acdeeegklmnnostw",529
"intellectualized","acdeeeiilllnttuz",529
"intellectualizes","aceeeiilllnsttuz",529
"exemplification","aceefiiilmnoptx",529
"overspecializing","aceegiiilnoprsvz",529
"euphemistically","aceehiillmpstuy",529
"inconsequentially","aceeiillnnnoqsty",529
"hypothetically","acehhillopttyy",529
"psychotherapists","acehhiopprssstty",529
"multiculturalism","aciilllmmrsttuuu",529
"extemporaneously","aeeelmnooprstuxy",529
"ophthalmologists","aghhillmooopsstt",529
"anthropomorphism","ahhimmnooopprrst",529
"incomprehensibly","bceehiilmnnoprsy",529
"hydroelectricity","ccdeehiilorrttyy",529
"comprehensively","ceeehilmnoprsvy",529
"uncompromisingly","cgiilmmnnooprsuy",529
"analyticalally","aaaacillllntyy",484
"bureaucratically","aaabcceillrrtuuy",484
"alphabetically","aaabcehilllpty",484
"characterization","aaaccehiinorrttz",484
"pharmaceuticals","aaaccehilmprstu",484
"acclimatization","aaacciiilmnottz",484
"aristocratically","aaacciillorrstty",484
"aerodynamically","aaacdeillmnoryy",484
"mathematically","aaacehillmmtty",484
"blackjacking","aabccgijkkln",484
"crackerjacks","aacccejkkrrs",484
"hierarchically","aaccehhiillrry",484
"architecturally","aaccehillrrttuy",484
"scholastically","aacchilllossty",484
"disqualifications","aacdfiiiilnoqsst",484
"diplomatically","aacdiilllmopty",484
"telepathically","aaceehilllptty",484
"parenthetically","aaceehillnprtty",484
"therapeutically","aaceehillprttuy",484
"straightjackets","aaceghijkrssttt",484
"enthusiastically","aacehiillnssttuy",484
"plainclothesman","aacehillmnnopst",484
"metaphorically","aacehillmoprty",484
"psychoanalyze","aacehlnopsyyz",484
"asymmetrically","aaceillmmrstyy",484
"conversationally","aaceillnnoorstvy",484
"pathologically","aacghillloopty",484
"parapsychology","aacghloopprsyy",484
"crystallization","aaciillnorsttyz",484
"computationally","aacillmnoopttuy",484
"asymptotically","aacillmopsttyy",484
"departmentalized","aaddeeeilmnprttz",484
"departmentalizes","aadeeeilmnprsttz",484
"temperamentally","aaeeellmmnprtty",484
"hospitalizations","aahiiilnoopssttz",484
"staphylococcus","accchloopsstuy",484
"commercialized","accdeeiilmmorz",484
"commercializes","acceeiilmmorsz",484
"conceptualizing","accegiilnnoptuz",484
"excommunicating","accegiimmnnotux",484
"accomplishment","accehilmmnopst",484
"excommunication","acceiimmnnootux",484
"knickknacks","accikkkknns",484
"acknowledgement","acdeeegklmnnotw",484
"overspecialized","acdeeeiiloprsvz",484
"acknowledgments","acdeegklmnnostw",484
"intellectualize","aceeeiilllnttuz",484
"overspecializes","aceeeiiloprssvz",484
"counterexamples","aceeelmnoprstux",484
"psychotherapies","aceehhiopprssty",484
"plainclothesmen","aceehillmnnopst",484
"psychotherapist","acehhiopprsstty",484
