"","Word","Changed"
"1","AOL","ALO"
"2","Aachen","AACEHN"
"3","Aaliyah","AAAHILY"
"4","Aaron","AANOR"
"5","Abbas","AABBS"
"6","Abbasid","AABBDIS"
"7","Abbott","ABBOTT"
"8","Abby","ABBY"
"9","Abdul","ABDLU"
"10","Abe","ABE"
"11","Abel","ABEL"
"12","Abelard","AABDELR"
"13","Abelson","ABELNOS"
"14","Aberdeen","ABDEEENR"
"15","Abernathy","AABEHNRTY"
"16","Abidjan","AABDIJN"
"17","Abigail","AABGIIL"
"18","Abilene","ABEEILN"
"19","Abner","ABENR"
"20","Abraham","AAABHMR"
"21","Abram","AABMR"
"22","Abrams","AABMRS"
"23","Absalom","AABLMOS"
"24","Abuja","AABJU"
"25","Abyssinia","AABIINSSY"
"26","Abyssinian","AABIINNSSY"
"27","Acadia","AAACDI"
"28","Acapulco","AACCLOPU"
"29","Accenture","ACCEENRTU"
"30","Accra","AACCR"
"31","Acevedo","ACDEEOV"
"32","Achaean","AAACEHN"
"33","Achebe","ABCEEH"
"34","Achernar","AACEHNRR"
"35","Acheson","ACEHNOS"
"36","Achilles","ACEHILLS"
"37","Aconcagua","AAACCGNOU"
"38","Acosta","AACOST"
"39","Acropolis","ACILOOPRS"
"40","Acrux","ACRUX"
"41","Actaeon","AACENOT"
"42","Acton","ACNOT"
"43","Acts","ACST"
"44","Acuff","ACFFU"
"45","Ada","AAD"
"46","Adam","AADM"
"47","Adams","AADMS"
"48","Adan","AADN"
"49","Adana","AAADN"
"50","Adar","AADR"
"51","Addams","AADDMS"
"52","Adderley","ADDEELRY"
"53","Addie","ADDEI"
"54","Addison","ADDINOS"
"55","Adela","AADEL"
"56","Adelaide","AADDEEIL"
"57","Adele","ADEEL"
"58","Adeline","ADEEILN"
"59","Aden","ADEN"
"60","Adenauer","AADEENRU"
"61","Adhara","AAADHR"
"62","Adidas","AADDIS"
"63","Adirondack","AACDDIKNOR"
"64","Adirondacks","AACDDIKNORS"
"65","Adkins","ADIKNS"
"66","Adler","ADELR"
"67","Adolf","ADFLO"
"68","Adolfo","ADFLOO"
"69","Adolph","ADHLOP"
"70","Adonis","ADINOS"
"71","Adonises","ADEINOSS"
"72","Adrian","AADINR"
"73","Adriana","AAADINR"
"74","Adriatic","AACDIIRT"
"75","Adrienne","ADEEINNR"
"76","Advent","ADENTV"
