Word,Changed
abracadabra,aaaaabbcdrr
Mahabharata,aaaaabhhmrt
Guadalajara,aaaaadgjlru
baccalaureates,aaaabcceelrstu
baccalaureate,aaaabcceelrtu
Bacchanalia,aaaabcchiln
bacchanalian,aaaabcchilnn
bacchanalians,aaaabcchilnns
Capablanca,aaaabcclnp
Casablanca,aaaabcclns
Copacabana,aaaabccnop
Athabascan,aaaabchnst
Athabasca,aaaabchst
Ahmadabad,aaaabddhm
Faisalabad,aaaabdfils
Allahabad,aaaabdhll
ambassadorial,aaaabdilmorss
balalaika,aaaabikll
balalaikas,aaaabiklls
Alabamian,aaaabilmn
Alabamians,aaaabilmns
Kawabata,aaaabktw
Alabama,aaaablm
Alabaman,aaaablmn
Alabamans,aaaablmns
lackadaisically,aaaaccdiiklllsy
lackadaisical,aaaaccdiiklls
whatchamacallits,aaaacchhillmsttw
whatchamacallit,aaaacchhillmttw
Apalachicola,aaaacchillop
Transcaucasia,aaaaccinrsstu
Caracalla,aaaaccllr
Guadalcanal,aaaacdgllnu
Madagascan,aaaacdgmns
Madagascans,aaaacdgmnss
Madagascar,aaaacdgmrs
Sacajawea,aaaacejsw
Appalachian,aaaachilnpp
Appalachians,aaaachilnpps
Appalachia,aaaachilpp
analyticalally,aaaacillllntyy
Araucanian,aaaacinnru
catamarans,aaaacmnrst
catamaran,aaaacmnrt
Atacama,aaaacmt
amalgamated,aaaadeglmmt
Karaganda,aaaadgknr
Vijayawada,aaaadijvwy
amalgamates,aaaaeglmmst
amalgamate,aaaaeglmmt
extravaganzas,aaaaegnrstvxz
extravaganza,aaaaegnrtvxz
paraphernalia,aaaaehilnpprr
Haleakala,aaaaehkll
parliamentarians,aaaaeiilmnnprrst
parliamentarian,aaaaeiilmnnprrt
Antofagasta,aaaafgnostt
Rastafarian,aaaafinrrst
amalgamating,aaaaggilmmnt
phantasmagorias,aaaaghimnoprsst
phantasmagoria,aaaaghimnoprst
Vijayanagar,aaaagijnrvy
amalgamations,aaaagilmmnost
amalgamation,aaaagilmmnot
Yamagata,aaaagmty
Anaxagoras,aaaagnorsx
Paraguayans,aaaagnprsuy
Paraguayan,aaaagnpruy
Araguaya,aaaagruy
maharajah,aaaahhjmr
