"","Word","Changed"
"9881","abracadabra","AAAAABBCDRR"
"5491","Mahabharata","AAAAABHHMRT"
"3634","Guadalajara","AAAAADGJLRU"
"13291","baccalaureates","AAAABCCEELRSTU"
"13290","baccalaureate","AAAABCCEELRTU"
"735","Bacchanalia","AAAABCCHILN"
"13293","bacchanalian","AAAABCCHILNN"
"13294","bacchanalians","AAAABCCHILNNS"
"1562","Capablanca","AAAABCCLNP"
"1647","Casablanca","AAAABCCLNS"
"2095","Copacabana","AAAABCCNOP"
"621","Athabascan","AAAABCHNST"
"620","Athabasca","AAAABCHST"
"120","Ahmadabad","AAAABDDHM"
"3023","Faisalabad","AAAABDFILS"
"231","Allahabad","AAAABDHLL"
"11310","ambassadorial","AAAABDILMORSS"
"13480","balalaika","AAAABIKLL"
"13481","balalaikas","AAAABIKLLS"
"144","Alabamian","AAAABILMN"
"145","Alabamians","AAAABILMNS"
"4704","Kawabata","AAAABKTW"
"141","Alabama","AAAABLM"
"142","Alabaman","AAAABLMN"
"143","Alabamans","AAAABLMNS"
"40308","lackadaisically","AAAACCDIIKLLLSY"
"40307","lackadaisical","AAAACCDIIKLLS"
"71093","whatchamacallits","AAAACCHHILLMSTTW"
"71092","whatchamacallit","AAAACCHHILLMTTW"
"448","Apalachicola","AAAACCHILLOP"
"8916","Transcaucasia","AAAACCINRSSTU"
"1583","Caracalla","AAAACCLLR"
"3635","Guadalcanal","AAAACDGLLNU"
"5454","Madagascan","AAAACDGMNS"
"5455","Madagascans","AAAACDGMNSS"
"5456","Madagascar","AAAACDGMRS"
"7766","Sacajawea","AAAACEJSW"
"458","Appalachian","AAAACHILNPP"
"459","Appalachians","AAAACHILNPPS"
"457","Appalachia","AAAACHILPP"
"11520","analyticalally","AAAACILLLLNTYY"
"492","Araucanian","AAAACINNRU"
"17820","catamarans","AAAACMNRST"
"17819","catamaran","AAAACMNRT"
"616","Atacama","AAAACMT"
"11280","amalgamated","AAAADEGLMMT"
"4662","Karaganda","AAAADGKNR"
"9219","Vijayawada","AAAADIJVWY"
"11281","amalgamates","AAAAEGLMMST"
"11279","amalgamate","AAAAEGLMMT"
"29470","extravaganzas","AAAAEGNRSTVXZ"
"29469","extravaganza","AAAAEGNRTVXZ"
"48456","paraphernalia","AAAAEHILNPPRR"
"3717","Haleakala","AAAAEHKLL"
"48544","parliamentarians","AAAAEIILMNNPRRST"
"48543","parliamentarian","AAAAEIILMNNPRRT"
"432","Antofagasta","AAAAFGNOSTT"
"7412","Rastafarian","AAAAFINRRST"
"11282","amalgamating","AAAAGGILMMNT"
"49661","phantasmagorias","AAAAGHIMNOPRSST"
"49660","phantasmagoria","AAAAGHIMNOPRST"
"9218","Vijayanagar","AAAAGIJNRVY"
"11284","amalgamations","AAAAGILMMNOST"
"11283","amalgamation","AAAAGILMMNOT"
"9582","Yamagata","AAAAGMTY"
"347","Anaxagoras","AAAAGNORSX"
"6872","Paraguayans","AAAAGNPRSUY"
"6871","Paraguayan","AAAAGNPRUY"
"486","Araguaya","AAAAGRUY"
"42324","maharajah","AAAAHHJMR"
"42325","maharajahs","AAAAHHJMRS"
"5492","Maharashtra","AAAAHHMRRST"
"9243","Visakhapatnam","AAAAHIKMNPSTV"
"42323","maharaja","AAAAHJMR"
"42326","maharajas","AAAAHJMRS"
"9616","Yoknapatawpha","AAAAHKNOPPTWY"
"617","Atahualpa","AAAAHLPTU"
"5494","Mahayana","AAAAHMNY"
"57506","sarsaparilla","AAAAILLPRRSS"
"57507","sarsaparillas","AAAAILLPRRSSS"
"676","Australasia","AAAAILRSSTU"
"6854","Panamanian","AAAAIMNNNP"
"6855","Panamanians","AAAAIMNNNPS"
"419","Antananarivo","AAAAINNNORTV"
"343","Anastasia","AAAAINSST"
"8608","Taklamakan","AAAAKKLMNT"
"494","Arawakan","AAAAKNRW"
"5525","Malayalam","AAAALLMMY"
"618","Atalanta","AAAALNTT"
"7383","Ramayana","AAAAMNRY"
"7858","Santayana","AAAANNSTY"
"806","Barabbas","AAABBBRS"
"1983","Cochabamba","AAABBCCHMO"
"57120","sabbaticals","AAABBCILSST"
"57119","sabbatical","AAABBCILST"
"808","Barbadian","AAABBDINR"
"809","Barbadians","AAABBDINRS"
"812","Barbarella","AAABBELLRR"
"13695","barbarian","AAABBINRR"
"13696","barbarians","AAABBINRRS"
"827","Barnabas","AAABBNRS"
"813","Barbarossa","AAABBORRSS"
"811","Barbara","AAABBRR"
"16659","bureaucratically","AAABCCEILLRRTUUY"
"13292","bacchanal","AAABCCHLN"
"13295","bacchanals","AAABCCHLNS"
"17349","canvasbacks","AAABCCKNSSV"
"17348","canvasback","AAABCCKNSV"
"1791","Chateaubriand","AAABCDEHINRTU"
"17230","candelabra","AAABCDELNR"
"17231","candelabras","AAABCDELNRS"
"10417","adiabatic","AAABCDIIT"
"13793","barracudas","AAABCDRRSU"
"13792","barracuda","AAABCDRRU"
"12540","ascertainable","AAABCEEILNRST"
"11055","algebraically","AAABCEGILLLRY"
"11221","alphabetically","AAABCEHILLLPTY"
"11220","alphabetical","AAABCEHILLPT"
"902","Beaumarchais","AAABCEHIMRSU"
"67962","unapproachable","AAABCEHLNOPPRU"
"12150","approachable","AAABCEHLOPPR"
"17021","calabashes","AAABCEHLSS"
"13067","autobiographical","AAABCGHIILOOPRTU"
"1554","Cantabrigian","AAABCGIINNRT"
"17020","calabash","AAABCHLS"
"5609","Maracaibo","AAABCIMOR"
"16904","cabana","AAABCN"
"16905","cabanas","AAABCNS"
"1673","Catawba","AAABCTW"
"180","Aldebaran","AAABDELNR"
"10347","adaptable","AAABDELPT"
"23172","databases","AAABDESST"
"23171","database","AAABDEST"
"582","Ashkhabad","AAABDHHKS"
"11312","ambassadorship","AAABDHIMOPRSSS"
"11313","ambassadorships","AAABDHIMOPRSSSS"
"10346","adaptability","AAABDIILPTTY"
"4292","Islamabad","AAABDILMS"
"11309","ambassador","AAABDMORSS"
"11311","ambassadors","AAABDMORSSS"
"13586","bandana","AAABDNN"
"13588","bandanna","AAABDNNN"
"13589","bandannas","AAABDNNNS"
"13587","bandanas","AAABDNNS"
"42810","marriageable","AAABEEGILMRR"
"57343","salvageable","AAABEEGLLSV"
"42521","manageable","AAABEEGLMN"
"68781","unmanageable","AAABEEGLMNNU"
"894","Beatlemania","AAABEEILMNT"
"32535","garbageman","AAABEGGMNR"
"42520","manageability","AAABEGIILMNTY"
"713","Azerbaijani","AAABEIIJNRZ"
"42389","maintainable","AAABEIILMNNT"
"7363","Rabelaisian","AAABEIILNRS"
"712","Azerbaijan","AAABEIJNRZ"
"67967","unassailable","AAABEILLNSSU"
"67978","unavailable","AAABEILLNUV"
"12628","assailable","AAABEILLSS"
"13116","available","AAABEILLV"
"67972","unattainable","AAABEILNNTTU"
"12879","attainable","AAABEILNTT"
"68843","unpalatable","AAABELLNPTU"
"48157","palatable","AAABELLPT"
"11002","alabaster","AAABELRST"
"1236","Brahmagupta","AAABGHMPRTU"
"57111","rutabagas","AAABGRSTU"
"57110","rutabaga","AAABGRTU"
